valore,PRO_COM_T
19092723.993652344,063051
19077216.030151367,058057
19039823.76171875,069033
19030050.49206543,024008
19027306.455810547,006114
18964393.48565674,085012
18865027.72277832,058034
18864673.67626953,012123
18845660.666748047,081018
18842728.370666504,047012
18814934.70288086,049007
18788908.938964844,054051
18761954.877197266,057027
18644492.6015625,111096
18606270.53857422,048019
18566047.44140625,013206
18509047.860839844,087005
18485109.28930664,037054
18451602.138916016,063082
18414546.330444336,039002
18380389.127685547,004029
18353790.516601562,072043
18348391.09020996,023044
18210260.44140625,072015
18082820.243652344,010015
18078565.94580078,043044
18045425.161865234,063063
18029896.309326172,058005
17981307.339782715,065114
17853126.201782227,063048
17841395.815429688,063032
17827383.591552734,074005
17799282.376953125,064083
17712816.77001953,029001
17695636.765625,084027
17609174.934936523,028032
17591112.73840332,065002
17587467.74194336,080093
17558049.89794922,023015
17406495.0,025044
17400092.53857422,095079
17396161.032348633,063080
17357850.21435547,072033
17228231.223876953,058118
17217092.826171875,038005
17170419.166870117,036006
17126959.081054688,063016
17115326.15966797,063045
17115189.42907715,077020
17065425.056274414,084017
17043296.858520508,065088
16982922.662231445,087032
16981951.73425293,037061
16972109.893188477,010059
16970674.453857422,075057
16932736.680786133,042044
16863829.20236206,060056
16863577.86694336,061019
16846122.26916504,061088
16846108.397583008,072041
16836189.10510254,074003
16830180.125,022153
16829962.57849121,072048
16827766.30126953,010046
16804819.59008789,059028
16799137.614501953,035016
16798998.725830078,069081
16701179.470947266,091009
16697346.037353516,083049
16684052.26928711,042010
16683177.227050781,058122
16669348.291992188,075030
16664351.227172852,043024
16610443.204467773,080061
16606373.70715332,075029
16594831.732543945,081008
16587078.506835938,051034
16561056.159057617,082014
16536744.603149414,068041
16521239.130310059,071046
16486273.450195312,074012
16422542.557373047,058074
16410178.859375,090048
16385965.208618164,063010
16383200.706054688,060085
16365164.251586914,027008
16363190.775146484,063076
16339827.646850586,065137
16310716.234375,001309
16308147.393310547,036027
16302986.19543457,063058
16300565.207763672,063023
16296475.50402832,108027
16282924.469360352,017174
16251978.025512695,071056
16229139.990600586,050032
16207253.463378906,063009
16200107.048339844,015189
16186207.784423828,058060
16185395.617797852,087037
16168923.770385742,017096
16163758.321655273,097048
16124371.28503418,059032
16104481.357299805,087008
16069069.479858398,073021
16049883.215209961,063003
16025878.369384766,058116
15972300.639648438,024057
15936875.087890625,081001
15887381.44909668,039009
15882094.545654297,052022
15856664.577636719,111042
15849874.414550781,036046
15839763.619628906,048010
15806263.492553711,063055
15802116.612304688,087025
15776410.633666992,108046
15759429.723022461,061042
15722060.744384766,069005
15695179.901367188,006001
15680728.444580078,056050
15647455.194824219,036034
15597517.471923828,015077
15565438.218139648,001164
15551294.702758789,063074
15530946.547485352,024095
15496926.497192383,062026
15495399.553222656,054002
15472905.890014648,006177
15470436.940429688,059024
15416425.720703125,054044
15401517.565795898,015070
15390912.875,058070
15361970.680053711,072028
15360492.208129883,065021
15329854.295898438,006039
15273659.938476562,099018
15252912.03881836,063066
15213979.782348633,073008
15207919.084472656,108028
15192452.030639648,092080
15175666.329589844,087039
15175030.464263916,001265
15170415.1953125,014073
15132180.603149414,063062
15113708.103881836,082005
15110926.544067383,064121
15098360.643310547,015205
15089462.722167969,078142
15072214.764648438,020017
15051309.581542969,046018
15023449.06640625,099013
15009730.841796875,077003
15007181.795654297,017014
14992620.081237793,016239
14992612.622314453,001280
14968160.736572266,078091
14953701.0289917,073029
14922544.986480713,001082
14919219.337402344,090023
14890528.12878418,015081
14871201.75769043,051021
14860226.872436523,005080
14855959.392578125,099001
14816971.048461914,090052
14807984.57397461,058097
14804796.314697266,027039
14794619.26953125,108001
14793096.275878906,077017
14573090.12878418,064025
14572288.351928711,038004
14564042.165527344,015175
14493599.63269043,061015
14473965.108154297,016218
14467535.310424805,054017
14435547.343261719,036022
14424588.055664062,001171
14378880.377075195,063006
14331060.536254883,027024
14327636.700805664,092003
14321389.01953125,111036
14315568.623901367,059009
14294901.822509766,058119
14289253.783081055,075055
14282938.041503906,072003
14281573.683105469,021011
14272559.201965332,103050
14256137.255004883,063068
14234324.04699707,061012
14222217.213256836,064101
14221460.818603516,063061
14192683.485595703,045011
14143327.989135742,061052
14074202.177734375,058006
14072598.018310547,068012
14040606.06665039,059007
14035147.075927734,035030
14028480.876708984,017052
14019424.067016602,054024
14013629.854125977,078119
13988512.688476562,078132
13987706.35559082,009049
13978010.064208984,064054
13975914.930908203,065127
13959288.75024414,100003
13946945.302734375,058055
13936164.007324219,087009
13900358.65991211,071013
13879501.182006836,042034
13841705.183105469,078081
13839822.465820312,058031
13830506.056762695,065034
13793992.330932617,026087
13780756.037597656,037036
13768064.472167969,001066
13765073.438476562,058053
13757824.302978516,086012
13750361.385131836,015244
13739801.028686523,024052
13725666.203125,022161
13702593.47680664,048005
13692864.470703125,072025
13671676.959960938,001013
13663284.372436523,052033
13656195.278320312,001024
13582079.357666016,061077
13579589.334472656,062043
13555115.458984375,061059
13552914.327636719,074017
13450416.885253906,072012
13449415.968078613,004003
13395941.915679932,001086
13375223.614746094,078070
13353364.01953125,015169
13319109.462280273,102025
13307493.556640625,080039
13297732.95300293,088008
13232371.229858398,020065
13203871.847290039,001098
13203839.03149414,013143
13187267.262695312,048012
13163429.942382812,028055
13119680.072387695,062057
13118273.319946289,084005
13069021.370178223,035024
13066340.64453125,058092
13042358.020751953,027012
13015055.8359375,032005
13005254.286743164,015002
12996136.732788086,080028
12983859.319091797,075006
12959581.652709961,072022
12959406.55078125,027038
12933964.34008789,063008
12906403.25024414,071047
12898577.377197266,009064
12892568.364746094,058086
12860100.0,075094
12840109.366210938,013026
12833574.48022461,063053
12813855.878173828,035036
12809619.09979248,016005
12804835.413574219,081004
12760230.184326172,051018
12732376.312866211,080045
12717165.470581055,080055
12714855.555175781,028065
12714795.815917969,021013
12700354.214782715,002156
12680807.731201172,082048
12664716.251220703,083086
12650078.135375977,081014
12648876.255981445,060046
12637047.65600586,080069
12615942.807861328,017133
12612714.25,025030
12607860.793579102,058114
12603343.711547852,052009
12549354.892578125,041020
12513147.001342773,016202
12512970.1640625,001300
12477861.608276367,001058
12474876.984863281,079137
12471100.052856445,044015
12450623.256347656,028001
12398298.23022461,084026
12373605.688964844,027029
12307799.100341797,059017
12247652.04284668,088005
12246750.297973633,063073
12246330.732543945,064038
12230459.08984375,004066
12229763.267578125,096047
12218185.329956055,075047
12145019.787963867,016198
12137179.0546875,069015
12129451.223022461,004215
12120843.719360352,085015
12109398.19921875,090087
12066060.517211914,101017
12057132.267700195,039007
12038583.973144531,109015
12038182.430908203,047011
12021021.302978516,075011
11998490.07421875,090079
11962037.200195312,084023
11935568.053955078,088011
11927624.221069336,056021
11885429.532104492,076036
11877294.23034668,035020
11860726.254516602,015027
11846221.0,002068
11845002.275390625,058046
11844122.116088867,076048
11844003.265625,043053
11839007.434448242,017070
11837852.161682129,017065
11837451.690795898,073026
11835792.127685547,077031
11812955.802856445,063041
11765143.812133789,075090
11765024.346923828,023017
11735386.303955078,008027
11684208.896606445,061028
11678951.478271484,076039
11678188.997558594,101019
11675162.676757812,036003
11668614.116577148,006174
11661989.87915039,065134
11645376.727294922,087053
11626262.295288086,071009
11622379.23059082,024111
11604058.41394043,006121
11601569.512817383,006009
11596919.807128906,110005
11580681.604980469,041007
11576490.04901123,001047
11539221.25012207,029046
11463294.326293945,089016
11448684.369140625,082058
11444781.36303711,001292
11427710.04321289,017113
11400483.766601562,023002
11391946.479248047,063039
11389314.534423828,072002
11387492.668945312,027019
11368755.630249023,058064
11361842.161621094,052002
11356246.436279297,110010
11332183.836303711,025074
11324059.768066406,087002
11306899.651367188,092108
11288266.119995117,015192
11269413.01171875,037010
11266422.029785156,108050
11256423.813720703,009001
11252715.485107422,056015
11249425.518676758,054027
11216199.450805664,004040
11206179.306030273,048033
11193841.534790039,028019
11193643.710327148,063065
11183869.790527344,080012
11149032.386535645,082034
11137680.899536133,093025
11135173.397094727,075037
11121418.447998047,015140
11115906.747314453,055022
11090050.036743164,052012
11083672.515625,078145
11063246.309326172,075084
11062907.832763672,069043
11057203.002807617,049008
11053467.041992188,062044
11036426.774414062,037021
11009828.17553711,015195
10984717.623535156,064044
10977927.03491211,075061
10973006.203125,078121
10963779.052001953,078017
10947735.434814453,058029
10944440.104003906,082079
10942965.849609375,078138
10931052.297607422,013102
10926010.687133789,087054
10897838.885742188,072044
10894790.370727539,059010
10874297.32397461,080096
10822617.347045898,087003
10820318.216796875,108010
10816602.383666992,087041
10801810.990966797,047017
10798534.020385742,078047
10773449.752685547,034049
10760014.640136719,091017
10759007.09753418,023040
10743652.342468262,029004
10718607.278320312,052028
10708554.991210938,048050
10708546.307373047,092050
10706998.153320312,058059
10698211.401916504,110006
10675764.027954102,072016
10669017.99206543,015108
10668641.114379883,102011
10667940.660766602,034018
10655959.214355469,061004
10621745.255737305,023018
10611734.913452148,078003
10602243.494995117,069086
10600625.827514648,090035
10598285.03930664,061099
10589145.119628906,015086
10586698.704589844,074002
10565659.072387695,049012
10563210.557128906,079138
10558059.779296875,038025
10557821.185546875,037055
10545395.75,111011
10543169.620941162,067040
10537117.92211914,061092
10512764.991210938,078154
10510649.111328125,015105
10479643.719726562,016169
10477931.875,064022
10475524.599975586,065007
10469899.58416748,076002
10465027.616821289,092068
10457532.982788086,079059
10445724.239746094,079081
10440294.115692139,084009
10437460.065551758,078103
10415601.598022461,101012
10403589.891235352,108023
10379065.939086914,058082
10348113.434204102,062058
10342650.588745117,015059
10341606.841918945,004089
10326431.540039062,065089
10324820.496948242,051012
10310709.857299805,110008
10287393.446533203,059014
10277084.926513672,087018
10267914.884277344,077013
10264903.026611328,065028
10264674.621459961,063036
10259234.3203125,075064
10249210.537231445,078114
10234772.57836914,061078
10231717.650756836,077028
10224400.877929688,010058
10217208.20300293,063087
10203738.225830078,062074
10198791.99609375,034050
10197610.869262695,001214
10150275.859863281,058036
10146500.189819336,073007
10144709.776367188,070027
10143242.380126953,024100
10136998.132110596,064015
10113310.783813477,076089
10092058.5625,024119
10087880.301757812,017125
10063962.436035156,039008
10051557.281982422,089006
10047514.583984375,069024
10042338.302856445,051033
10026154.643310547,030026
10025249.625,022006
10015845.721923828,091085
10014370.228515625,063089
10001405.005371094,111103
9999993.12109375,065071
9983397.975219727,024074
9976818.482421875,048024
9948036.8934021,067047
9947790.231567383,078123
9947569.908691406,109018
9945557.456542969,061074
9922779.26574707,063033
9914546.671020508,065098
9886757.270507812,001270
9878158.666381836,111084
9865481.882019043,047009
9833901.779296875,068003
9823833.616210938,075085
9816187.909423828,025071
9813634.150878906,030046
9807215.983398438,081024
9772387.169433594,064050
9770585.03515625,016111
9764294.119140625,102021
9760323.201660156,004082
9747773.915771484,031016
9732508.712280273,086011
9721866.236694336,008050
9721846.474365234,037059
9718028.444824219,046001
9717043.593811035,083009
9686991.24194336,026089
9686425.643798828,043043
9681327.109375,052015
9645047.513916016,020002
9606527.456054688,065081
9583300.086914062,022139
9574359.298217773,080052
9573314.364746094,108030
9571409.08569336,059026
9565634.13696289,061054
9543000.969726562,065097
9537402.93951416,014063
9531016.033203125,049017
9527902.74597168,033021
9527727.018432617,085013
9521482.375976562,063026
9510876.20223999,068038
9494410.568359375,054009
9489153.546875,075050
9488105.174926758,017166
9475716.854736328,017195
9466572.251708984,015142
9452829.323730469,092074
9450583.716430664,069035
9446037.177734375,075007
9434529.357177734,028056
9412929.298828125,074009
9412749.568237305,069008
9396060.555664062,022022
9393055.84048462,001217
9383529.44732666,020052
9356676.513671875,015166
9336525.307617188,089010
9333136.553833008,023055
9325817.970947266,070010
9324440.199951172,101015
9311310.381713867,026057
9305945.030883789,080054
9305249.344848633,045014
9298067.323486328,058115
9264011.879516602,076044
9242293.524414062,063072
9237101.430419922,087052
9233161.006347656,004019
9228914.053833008,069017
9205401.528076172,065106
9195975.320922852,086018
9186673.416870117,087035
9182901.964233398,048032
9178757.360839844,027023
9155509.603027344,017172
9153350.774291992,063091
9151091.75756836,048028
9150181.553710938,078148
9149659.712890625,017127
9145953.46875,094028
9138472.562011719,015093
9131905.841674805,051004
9130657.473999023,060043
9115644.975708008,046003
9102467.672973633,079127
9097599.287109375,019021
9096679.818847656,008017
9095816.317871094,017075
9055438.281982422,017103
9046738.724365234,048013
9031244.604003906,069041
9015072.512695312,022123
8979006.153564453,075042
8953627.684204102,046022
8951043.0,022147
8941068.42993164,094002
8940521.777954102,093017
8907886.03125,064109
8903734.918670654,009029
8899143.040527344,087030
8851084.690185547,036019
8850635.935546875,062076
8849389.757202148,056052
8848343.795410156,070074
8845299.504760742,047002
8840459.990234375,048044
8840149.702148438,001275
8830278.541870117,079039
8823553.1875,069091
8821310.920532227,055004
8807975.407226562,022116
8769578.605834961,079012
8762075.158203125,027034
8759574.895263672,023081
8750383.978271484,051017
8740127.027832031,018013
8734807.579711914,014066
8722753.866699219,065073
8718271.70690918,012120
8708885.391845703,064057
8701906.708129883,015157
8685423.482421875,062056
8680430.193115234,103028
8680330.415405273,081005
8674871.112182617,084004
8673301.805541992,087051
8670708.919067383,017028
8641650.510253906,061103
8636891.655029297,072010
8624893.70678711,084028
8608856.516845703,046028
8607859.541748047,072040
8594165.445739746,019067
8580605.9296875,048030
8563422.158203125,017088
8562956.629882812,033002
8545571.161254883,049014
8532150.239868164,091062
8523148.761413574,091024
8510779.927978516,017032
8497614.860595703,034032
8484214.289916992,065083
8469991.0496521,009015
8455333.754516602,035038
8453146.64440918,071004
8452821.305175781,075098
8447467.359863281,076053
8435316.758789062,020057
8425918.385986328,043054
8417962.478027344,108039
8412117.85546875,035041
8411169.440185547,075076
8409960.22644043,084034
8393954.669189453,061095
8377758.054992676,034006
8365226.644287109,069020
8361953.518798828,087034
8360428.732177734,075026
8359210.169921875,093037
8359115.0,001106
8356599.284423828,072024
8356062.029174805,060024
8352069.712158203,010047
8309575.899902344,023089
8306197.014282227,061098
8303810.959228516,047010
8291170.234008789,037046
8287657.495849609,082056
8279333.00378418,029002
8277140.6533203125,035018
8265880.204345703,064006
8256691.4951171875,069031
8252110.245605469,016053
8245151.548339844,066032
8244532.284423828,109033
8243813.5625,063025
8234210.495605469,036037
8233644.6025390625,070046
8232082.803222656,078094
8227653.277832031,034009
8219389.287963867,065056
8218944.192016602,077018
8217176.573608398,064049
8212153.572265625,059025
8198751.4296875,062052
8192202.7412109375,064017
8187119.0,041027
8175116.0576171875,001130
8173169.264251709,067031
8161901.151306152,042015
8159880.067260742,101025
8155663.639892578,084031
8153721.556152344,070028
8149867.366943359,090033
8110151.828369141,076085
8108123.905517578,026039
8107257.958496094,101008
8106591.233886719,026051
8090631.108886719,087021
8089579.408935547,037052
8088846.815551758,063046
8074344.854003906,016246
8059117.101806641,083041
8054081.1220703125,061046
8043871.4462890625,065146
8041316.880859375,023073
8036959.578125,062051
8029785.36920166,002061
7975597.593017578,033039
7972278.206298828,026023
7965356.200927734,062023
7954359.027709961,083076
7953502.087280273,085016
7947230.272216797,023082
7947214.457641602,065013
7933969.8154296875,075070
7928938.243896484,037024
7922583.9384765625,041066
7915317.65234375,081003
7906847.762451172,064028
7903099.218261719,027020
7901379.0634765625,060007
7884064.232666016,078105
7882946.532714844,082045
7868877.071044922,091095
7866199.630859375,095018
7866067.324462891,035040
7859966.797119141,075063
7855734.546386719,078156
7841340.779174805,058013
7834537.740112305,013041
7831025.0,083075
7829989.683837891,088001
7826540.157714844,061087
7817366.5,021040
7804254.9599609375,111099
7803365.467285156,087038
7803215.765625,078009
7791543.181640625,064087
7787744.767235352,020026
7787029.209228516,065072
7782299.998168945,108019
7778015.616699219,080013
7762098.540161133,062070
7747417.930175781,015250
7732204.938720703,017117
7730753.465576172,111071
7724537.268615723,014045
7716988.950439453,060044
7712953.552734375,062048
7710694.278564453,087044
7705335.9541015625,048038
7681187.451904297,078116
7679651.010009766,002107
7671787.801879883,064034
7662910.201171875,092015
7662312.09387207,024105
7640239.369628906,065003
7635625.85534668,075051
7633457.230224609,103064
7625731.940185547,041065
7621013.413696289,075095
7618511.135498047,098010
7613675.337646484,021042
7610891.8623046875,010055
7601854.558959961,012127
7601190.7314453125,055029
7592988.335083008,058022
7569940.891113281,023094
7568374.8203125,061025
7567691.596374512,098019
7560218.403808594,108024
7557675.609619141,092105
7551534.505126953,062032
7543078.47265625,102018
7531873.758178711,031023
7530958.395385742,053018
7526396.029418945,042023
7517728.770019531,078015
7494888.661865234,015159
7492957.856079102,061051
7486783.175170898,002148
7478575.423339844,037008
7469912.1640625,061044
7459097.170654297,048035
7453122.236083984,079036
7445872.848266602,058024
7444944.292236328,082033
7441578.464233398,080065
7418772.827880859,018102
7407682.727905273,004179
7403985.803100586,064041
7401897.0,025014
7401736.588989258,063083
7392264.3876953125,077008
7390874.19140625,040041
7387923.349365234,015041
7385892.745849609,084020
7382407.473266602,111075
7379473.9296875,007046
7375922.5908203125,027026
7374374.3388671875,099002
7369322.260253906,077022
7365036.636108398,015130
7363508.031982422,075028
7351418.079223633,093004
7349424.728515625,062004
7348200.814453125,060026
7344199.596801758,058042
7343760.6484375,080068
7333605.011291504,086004
7313570.167663574,091044
7307156.512084961,089009
7306807.837280273,074011
7289877.689575195,016079
7283828.834594727,034024
7276092.5,029017
7273496.058837891,068011
7272335.90222168,016170
7267154.25402832,030070
7265642.330566406,004075
7247137.404418945,062001
7246924.291015625,020021
7246465.046875,075069
7230362.794921875,077002
7224401.763305664,109002
7224113.230102539,079061
7222135.860107422,058023
7221530.728271484,075048
7221166.837890625,060022
7221059.436645508,082057
7220044.9833984375,073028
7219199.181213379,071058
7218345.967529297,065019
7218277.409545898,042014
7217094.880737305,061094
7207145.024475098,058063
7206142.083984375,083079
7199781.547241211,108008
7196588.5,022167
7195029.139038086,037027
7192405.61328125,099020
7190435.216918945,081013
7190401.767089844,016006
7178415.945556641,078104
7162117.264160156,088010
7147748.255615234,054021
7120681.5322265625,036021
7120635.532348633,071060
7103498.947631836,071008
7099386.152832031,096020
7098450.5966796875,016247
7092534.427368164,064092
7074078.98059082,058018
7044766.066162109,021094
7041436.973876953,024006
7037179.5849609375,013046
7029690.969604492,058103
7015543.323120117,095065
7001131.122558594,004016
7000738.8466796875,024087
7000345.905883789,065006
6999649.909667969,021115
6992502.1171875,083007
6987220.9296875,037051
6980171.733459473,103035
