Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice CID;Codice Univoco submisura;Descrizione Submisura;Amministrazione Titolare;Importo Totale;Campo d’intervento Clima;Coefficiente TAG Clima;Campo d’intervento Digitale;Coefficiente TAG Digitale;Importo Contribuzione al Clima;Importo Contribuzione al Digitale
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.1;M1C1I1.01;Infrastrutture digitali;M1C1I1.1;M1C1I1.1;M1C1I1.01.00;Infrastrutture digitali;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;900000000;055 - TIC: altre tipologie di infrastrutture TIC (compresi risorse/impianti informatici di grandi dimensioni, centri di dati, sensori e altri dispositivi wireless);0;055 - Altre tipologie di infrastrutture TIC (compresi risorse/impianti informatici di grandi dimensioni, centri di dati, sensori e altri dispositivi wireless);100;0;900000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.2;M1C1I1.02;Abilitazione al cloud per le PA locali;M1C1I1.2;M1C1I1.2;M1C1I1.02.00;Abilitazione al cloud per le PA locali;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;1000000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;1000000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.1;M1C1I1.3.1;M1C1I1.03.01;Piattaforma Digitale Nazionale Dati;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;556000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;556000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.2;M1C1I1.3.2;M1C1I1.03.02;Sportello digitale unico;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;90000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;90000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.1;M1C1I1.4.1;M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;813000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;813000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.2;M1C1I1.4.2;M1C1I1.04.02;Inclusione dei cittadini -  Miglioramento dell'accessibilità dei servizi pubblici digitali;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;80000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.3;M1C1I1.4.3;M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;580000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;580000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.4;M1C1I1.4.4;M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;255000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011TER - Applicazione del regime europeo di identità digitale per uso pubblico e privato;100;0;255000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.5;M1C1I1.4.5;M1C1I1.04.05;Digitalizzazione degli avvisi pubblici;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;245000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;245000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.6;M1C1I1.4.6;M1C1I1.04.06;Mobilità come servizio per l'Italia;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;40000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;40000000
