Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice CID;Codice Univoco Submisura;Descrizione Submisura;Tipo Livello;Investimento o Riforma;Prestito o Sovvenzione;Amministrazione Titolare;Importo Totale;Importo Progetti in essere;Importo FSC;Importo Progetti nuovi
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.1;M1C1I1.01;Infrastrutture digitali;M1C1I1.1;M1C1I1.1;M1C1I1.01.00;Infrastrutture digitali;Misura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;900000000;0;0;900000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.2;M1C1I1.02;Abilitazione al cloud per le PA locali;M1C1I1.2;M1C1I1.2;M1C1I1.02.00;Abilitazione al cloud per le PA locali;Misura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;1000000000;0;0;1000000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.1;M1C1I1.3.1;M1C1I1.03.01;Piattaforma Digitale Nazionale Dati;Submisura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;556000000;0;0;556000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.2;M1C1I1.3.2;M1C1I1.03.02;Sportello digitale unico;Submisura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;90000000;0;0;90000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.1;M1C1I1.4.1;M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;813000000;0;0;813000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.2;M1C1I1.4.2;M1C1I1.04.02;Inclusione dei cittadini -  Miglioramento dell'accessibilità dei servizi pubblici digitali;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80000000;0;0;80000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.3;M1C1I1.4.3;M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;580000000;0;0;580000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.4;M1C1I1.4.4;M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;255000000;0;0;255000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.5;M1C1I1.4.5;M1C1I1.04.05;Digitalizzazione degli avvisi pubblici;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;245000000;0;0;245000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.6;M1C1I1.4.6;M1C1I1.04.06;Mobilità come servizio per l'Italia;Submisura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;40000000;0;0;40000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;M1C1I1.5;M1C1I1.5;M1C1I1.05.00;Cybersecurity;Misura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;623000000;0;0;623000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.1;M1C1I1.6.1;M1C1I1.06.01;Digitalizzazione del Ministero dell'Interno;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;107000000;0;0;107000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.2;M1C1I1.6.2;M1C1I1.06.02;Digitalizzazione del Ministero della Giustizia;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;133203200;0;0;133203200
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.6.3;M1C1I1.06.03;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;296000000;0;0;296000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.4;M1C1I1.6.4;M1C1I1.06.04;Digitalizzazione del Ministero della Difesa;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;42500000;0;0;42500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.5;M1C1I1.6.5;M1C1I1.06.05;Digitalizzazione del Consiglio di Stato;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;7500000;0;0;7500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.6;M1C1I1.6.6;M1C1I1.06.06;Digitalizzazione della Guardia di Finanza;Submisura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;25000000;0;0;25000000
