Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C2I5.01.01;E11B21011930006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03018940803;CALOR PELLET SRL;11;Società  a responsabilità  limitata;47.78.10;03018940803;CALOR PELLET SRL;11;Società  a responsabilità  limitata;47.78.10
M1C2I5.01.01;E11B21008210006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;12377510156;ARISTONCAVI S.P.A.;10;Società  per azioni;27.32.00;12377510156;ARISTONCAVI S.P.A.;10;Società  per azioni;27.32.00
M1C2I5.01.01;E41B21013180006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;09441470961;GOBID INTERNATIONAL AUCTION GROUP S.R.L.;11;Società  a responsabilità  limitata;47.79.10;09441470961;GOBID INTERNATIONAL AUCTION GROUP S.R.L.;11;Società  a responsabilità  limitata;47.79.10
M1C2I5.01.01;E11B21009260006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04945711218;M & V S.R.L.;12;Srl con un unico socio;46.69.11;04945711218;M & V S.R.L.;12;Srl con un unico socio;46.69.11
M1C2I5.01.01;E91B21011340006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02011740343;PARMAKIT  S.R.L.;11;Società  a responsabilità  limitata;45.40.12;02011740343;PARMAKIT  S.R.L.;11;Società  a responsabilità  limitata;45.40.12
M1C2I5.01.01;E31B21012410006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03686121207;PASTRY ART SRL SEMPLIFICATA;11;Società  a responsabilità  limitata;56.10.12;03686121207;PASTRY ART SRL SEMPLIFICATA;11;Società  a responsabilità  limitata;56.10.12
M1C2I5.01.01;E21B21006020006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02627360304;PERESSINI CASA S.R.L.;11;Società  a responsabilità  limitata;46.47.10;02627360304;PERESSINI CASA S.R.L.;11;Società  a responsabilità  limitata;46.47.10
M1C2I5.01.01;E81B21011820006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03943290985;SONS OF ANARCHY S.R.L.;11;Società  a responsabilità  limitata;47.91.10;03943290985;SONS OF ANARCHY S.R.L.;11;Società  a responsabilità  limitata;47.91.10
M1C2I5.01.01;E31B21009760006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03351930981;ITALMESH S.R.L.;11;Società  a responsabilità  limitata;25.99.11;03351930981;ITALMESH S.R.L.;11;Società  a responsabilità  limitata;25.99.11
M1C2I5.01.01;E91B21011350006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04133030710;SUPERMERCATO G & EMI SRL;11;Società  a responsabilità  limitata;47.11.10;04133030710;SUPERMERCATO G & EMI SRL;11;Società  a responsabilità  limitata;47.11.10
