Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C3I4.01.00;J51B21002940006;96480590585;MINISTERO DEL TURISMO;38;Ministero;84.11.10;96480590585;MINISTERO DEL TURISMO;38;Ministero;84.11.10;N/D;N/D;N/D;N/D;N/D
M1C2I5.01.01;E91B21008390006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02598070247;NECSI S.R.L.;11;Società  a responsabilità  limitata;74.90.11;02598070247;NECSI S.R.L.;11;Società  a responsabilità  limitata;74.90.11
M1C2I5.01.01;E61B21008510006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03292190638;TECNO ATI S.R.L.;11;Società  a responsabilità  limitata;46.74.10;03292190638;TECNO ATI S.R.L.;11;Società  a responsabilità  limitata;46.74.10
M1C2I5.01.01;E31B21010450006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01078310354;METHODO CHEMICALS - S.R.L.;12;Srl con un unico socio;46.46.10;01078310354;METHODO CHEMICALS - S.R.L.;12;Srl con un unico socio;46.46.10
M1C2I5.01.01;E11B21009930006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;09738350017;TRIGENIA S.R.L.;11;Società  a responsabilità  limitata;71.12.10;09738350017;TRIGENIA S.R.L.;11;Società  a responsabilità  limitata;71.12.10
M1C2I5.01.01;E61B21008520006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02985780275;VENITEM S.R.L.;11;Società  a responsabilità  limitata;27.90.02;02985780275;VENITEM S.R.L.;11;Società  a responsabilità  limitata;27.90.02
M1C2I5.01.01;E71B21007140006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00664470259;SILCON PLASTIC S.R.L.;11;Società  a responsabilità  limitata;32.50.14;00664470259;SILCON PLASTIC S.R.L.;11;Società  a responsabilità  limitata;32.50.14
M1C2I5.01.01;E11B21009940006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03850030242;ROTOMEC S.R.L.;11;Società  a responsabilità  limitata;28.94.10;03850030242;ROTOMEC S.R.L.;11;Società  a responsabilità  limitata;28.94.10
M1C2I5.01.01;E41B21011690006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00218350122;MARIO CAVELLI S.R.L.;11;Società  a responsabilità  limitata;13.96.10;00218350122;MARIO CAVELLI S.R.L.;11;Società  a responsabilità  limitata;13.96.10
M1C2I5.01.01;E41B21011700006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03987590480;ENOITALIA - COSTRUZIONI MACCHINE ENOLOGI;11;Società  a responsabilità  limitata;28.93.00;03987590480;ENOITALIA - COSTRUZIONI MACCHINE ENOLOGI;11;Società  a responsabilità  limitata;28.93.00
M1C2I5.01.01;E11B21009950006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03371110986;LIQUID WELLNESS COMPANY S.R.L.;11;Società  a responsabilità  limitata;10.92.00;03371110986;LIQUID WELLNESS COMPANY S.R.L.;11;Società  a responsabilità  limitata;10.92.00
M1C2I5.01.01;E91B21008400006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06540910483;INTELLIENERGY TECHNOLOGIES S.R.L.;11;Società  a responsabilità  limitata;26.51.10;06540910483;INTELLIENERGY TECHNOLOGIES S.R.L.;11;Società  a responsabilità  limitata;26.51.10
M1C2I5.01.01;E81B21010060006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03620771208;MBE S.R.L.;11;Società  a responsabilità  limitata;26.60.09;03620771208;MBE S.R.L.;11;Società  a responsabilità  limitata;26.60.09
M1C2I5.01.01;E81B21010070006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01251460125;TESSITURA DI ALBIZZATE S.R.L.;11;Società  a responsabilità  limitata;13.20.00;01251460125;TESSITURA DI ALBIZZATE S.R.L.;11;Società  a responsabilità  limitata;13.20.00
M1C2I5.01.01;E61B21008530006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02639920244;MASCAR SPA;10;Società  per azioni;28.30.10;02639920244;MASCAR SPA;10;Società  per azioni;28.30.10
M1C2I5.01.01;E31B21010460006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02721600241;GOLD PLANET S.R.L.;11;Società  a responsabilità  limitata;32.12.10;02721600241;GOLD PLANET S.R.L.;11;Società  a responsabilità  limitata;32.12.10
M1C2I5.01.01;E61B21008540006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02035710157;B & C ELECTRONICS -S.R.L.;11;Società  a responsabilità  limitata;26.51.10;02035710157;B & C ELECTRONICS -S.R.L.;11;Società  a responsabilità  limitata;26.51.10
M1C2I5.01.01;E21B21007410006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03746670920;SMARTIMPORT S.R.L. (START-UP COSTITUITA;11;Società  a responsabilità  limitata;62.09.09;03746670920;SMARTIMPORT S.R.L. (START-UP COSTITUITA;11;Società  a responsabilità  limitata;62.09.09
M1C2I5.01.01;E81B21010080006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05250130720;ERMAN S.R.L.;11;Società  a responsabilità  limitata;14.14.00;05250130720;ERMAN S.R.L.;11;Società  a responsabilità  limitata;14.14.00
M1C2I5.01.01;E11B21009960006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02318070519;C & S ITALY S.R.L.;11;Società  a responsabilità  limitata;46.48.00;02318070519;C & S ITALY S.R.L.;11;Società  a responsabilità  limitata;46.48.00
M1C2I5.01.01;E91B21008410006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03635230406;PIETRO PARMEGGIANI S.R.L.;11;Società  a responsabilità  limitata;46.75.02;03635230406;PIETRO PARMEGGIANI S.R.L.;11;Società  a responsabilità  limitata;46.75.02
M1C2I5.01.01;E11B21009970006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04023120985;GENERAL&PHARMA S.R.L.;11;Società  a responsabilità  limitata;10.92.00;04023120985;GENERAL&PHARMA S.R.L.;11;Società  a responsabilità  limitata;10.92.00
M1C2I5.01.01;E81B21010090006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02305090355;SIME - IDROMECCANICA S.R.L.;11;Società  a responsabilità  limitata;28.30.10;02305090355;SIME - IDROMECCANICA S.R.L.;11;Società  a responsabilità  limitata;28.30.10
M1C2I5.01.01;E11B21009980006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02153030511;CROCE DEL SUD S.R.L.;11;Società  a responsabilità  limitata;46.49.10;02153030511;CROCE DEL SUD S.R.L.;11;Società  a responsabilità  limitata;46.49.10
M1C2I5.01.01;E11B21009990006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01739760518;ARS S.R.L.;11;Società  a responsabilità  limitata;28.99.10;01739760518;ARS S.R.L.;11;Società  a responsabilità  limitata;28.99.10
M1C2I5.01.01;E51B21006540006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01855460448;INIM  ELECTRONICS S.R.L.;12;Srl con un unico socio;26.30.10;01855460448;INIM  ELECTRONICS S.R.L.;12;Srl con un unico socio;26.30.10
M1C2I5.01.01;E61B21008550006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06073220631;CHANTECLER S.P.A.;42;Società per azioni con unico socio;47.77.00;06073220631;CHANTECLER S.P.A.;42;Società per azioni con unico socio;47.77.00
M1C2I5.01.01;E91B21008420006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06010630488;PATRIZIA GARGANTI S.R.L.;11;Società  a responsabilità  limitata;27.40.09;06010630488;PATRIZIA GARGANTI S.R.L.;11;Società  a responsabilità  limitata;27.40.09
M1C2I5.01.01;E51B21006550006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01183380417;DOMO S.P.A.;10;Società  per azioni;25.99.11;01183380417;DOMO S.P.A.;10;Società  per azioni;25.99.11
M1C2I5.01.01;E61B21008560006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02523300644;L'OFFICINA S.R.L. CHIMICA IN MOVIMENTO;11;Società  a responsabilità  limitata;20.12.00;02523300644;L'OFFICINA S.R.L. CHIMICA IN MOVIMENTO;11;Società  a responsabilità  limitata;20.12.00
M1C2I5.01.01;E71B21007150006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05509200720;LOIUDICED S.R.L.;11;Società  a responsabilità  limitata;31.09.10;05509200720;LOIUDICED S.R.L.;11;Società  a responsabilità  limitata;31.09.10
M1C2I5.01.01;E31B21010470006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01315450120;FRIGOSYSTEM S.R.L.;11;Società  a responsabilità  limitata;28.96.00;01315450120;FRIGOSYSTEM S.R.L.;11;Società  a responsabilità  limitata;28.96.00
M1C2I5.01.01;E71B21007160006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06016400480;OKSYS S.R.L.;11;Società  a responsabilità  limitata;28.12.00;06016400480;OKSYS S.R.L.;11;Società  a responsabilità  limitata;28.12.00
M1C2I5.01.01;E11B21010000006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04249560402;MARK ONE S.R.L.;11;Società  a responsabilità  limitata;26.20.00;04249560402;MARK ONE S.R.L.;11;Società  a responsabilità  limitata;26.20.00
M1C2I5.01.01;E11B21010010006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04175730169;FARMAKOM S.R.L.;11;Società  a responsabilità  limitata;62.01.00;04175730169;FARMAKOM S.R.L.;11;Società  a responsabilità  limitata;62.01.00
M1C2I5.01.01;E31B21010480006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03237450246;IT+ROBOTICS SRL;11;Società  a responsabilità  limitata;72.19.01;03237450246;IT+ROBOTICS SRL;11;Società  a responsabilità  limitata;72.19.01
M1C2I5.01.01;E21B21007420006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;10250270013;ALEA ITALIA S.R.L.;11;Società  a responsabilità  limitata;45.11.02;10250270013;ALEA ITALIA S.R.L.;11;Società  a responsabilità  limitata;45.11.02
M1C2I5.01.01;E11B21010020006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01741540502;SIGNORINI COCO & C. S.R.L.;11;Società  a responsabilità  limitata;31.01.10;01741540502;SIGNORINI COCO & C. S.R.L.;11;Società  a responsabilità  limitata;31.01.10
M1C2I5.01.01;E81B21010100006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;08966960968;TEETHAN S.P.A.;10;Società  per azioni;46.46.10;08966960968;TEETHAN S.P.A.;10;Società  per azioni;46.46.10
M1C2I5.01.01;E91B21008430006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01176260253;MORITSCH CRANES S.R.L.;11;Società  a responsabilità  limitata;28.22.02;01176260253;MORITSCH CRANES S.R.L.;11;Società  a responsabilità  limitata;28.22.02
M1C2I5.01.01;E11B21010030006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00398860486;LAMINTESS - SOCIETA' A RESPONSABILITA' L;12;Srl con un unico socio;13.96.10;00398860486;LAMINTESS - SOCIETA' A RESPONSABILITA' L;12;Srl con un unico socio;13.96.10
M1C2I5.01.01;E81B21010110006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03406150981;CTM S.R.L.;11;Società  a responsabilità  limitata;25.99.11;03406150981;CTM S.R.L.;11;Società  a responsabilità  limitata;25.99.11
M1C2I5.01.01;E81B21010120006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05463000587;SEAB INSTRUMENTS SOCIETA' A RESPONSABILI;11;Società  a responsabilità  limitata;77.39.10;05463000587;SEAB INSTRUMENTS SOCIETA' A RESPONSABILI;11;Società  a responsabilità  limitata;77.39.10
M1C2I5.01.01;E51B21006560006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02248500262;COLESEL SPUMANTI S.R.L.;11;Società  a responsabilità  limitata;11.02.10;02248500262;COLESEL SPUMANTI S.R.L.;11;Società  a responsabilità  limitata;11.02.10
M1C2I5.01.01;E71B21007170006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01930670243;PRANDINA - S.R.L.;11;Società  a responsabilità  limitata;27.40.09;01930670243;PRANDINA - S.R.L.;11;Società  a responsabilità  limitata;27.40.09
M1C2I5.01.01;E81B21010130006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04633640281;VILLALTA S.R.L.;11;Società  a responsabilità  limitata;25.11.00;04633640281;VILLALTA S.R.L.;11;Società  a responsabilità  limitata;25.11.00
M1C2I5.01.01;E11B21010040006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;08130670014;REDDISH STONE S.R.L.;11;Società  a responsabilità  limitata;23.91.00;08130670014;REDDISH STONE S.R.L.;11;Società  a responsabilità  limitata;23.91.00
M1C2I5.01.01;E81B21010140006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02358670368;LACUS S.R.L.;11;Società  a responsabilità  limitata;46.73.10;02358670368;LACUS S.R.L.;11;Società  a responsabilità  limitata;46.73.10
M1C2I5.01.01;E51B21006570006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02175870803;MASTER GROUP SRL;11;Società  a responsabilità  limitata;79.11.00;02175870803;MASTER GROUP SRL;11;Società  a responsabilità  limitata;79.11.00
M1C2I5.01.01;E31B21010490006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01775620501;CONCERIA LA FORTEZZA S.R.L.;11;Società  a responsabilità  limitata;15.11.00;01775620501;CONCERIA LA FORTEZZA S.R.L.;11;Società  a responsabilità  limitata;15.11.00
M1C2I5.01.01;E81B21010150006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05119350287;GENIUS WATTER S.R.L.;11;Società  a responsabilità  limitata;28.29.10;05119350287;GENIUS WATTER S.R.L.;11;Società  a responsabilità  limitata;28.29.10
M1C2I5.01.01;E81B21010160006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02284070352;IDO S.R.L;11;Società  a responsabilità  limitata;46.47.10;02284070352;IDO S.R.L;11;Società  a responsabilità  limitata;46.47.10
M1C2I5.01.01;E81B21010170006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06511760826;FRATELLI CALANDRA S.R.L.;11;Società  a responsabilità  limitata;23.70.10;06511760826;FRATELLI CALANDRA S.R.L.;11;Società  a responsabilità  limitata;23.70.10
M1C2I5.01.01;E21B21007430006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02789370596;DCLASS SOCIETA' A RESPONSABILITA' LIMITA;11;Società  a responsabilità  limitata;47.82.02;02789370596;DCLASS SOCIETA' A RESPONSABILITA' LIMITA;11;Società  a responsabilità  limitata;47.82.02
M1C2I5.01.01;E61B21008570006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02594470367;FATTORIA CA' DANTE S.R.L.;11;Società  a responsabilità  limitata;10.13.00;02594470367;FATTORIA CA' DANTE S.R.L.;11;Società  a responsabilità  limitata;10.13.00
M1C2I5.01.01;E41B21011710006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03924730967;MEMENTO LABS SRL;11;Società  a responsabilità  limitata;62.09.09;03924730967;MEMENTO LABS SRL;11;Società  a responsabilità  limitata;62.09.09
M1C2I5.01.01;E91B21008440006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03487780136;MARIVAN INDUSTRIES S.R.L.;12;Srl con un unico socio;46.69.11;03487780136;MARIVAN INDUSTRIES S.R.L.;12;Srl con un unico socio;46.69.11
M1C2I5.01.01;E11B21010050006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01130340035;MARIO BONGIO S.R.L.;11;Società  a responsabilità  limitata;28.14.00;01130340035;MARIO BONGIO S.R.L.;11;Società  a responsabilità  limitata;28.14.00
M1C2I5.01.01;E71B21007180006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00630380418;FAST-VERDINI S.R.L.;11;Società  a responsabilità  limitata;28.92.01;00630380418;FAST-VERDINI S.R.L.;11;Società  a responsabilità  limitata;28.92.01
M1C2I5.01.01;E81B21010180006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02422060372;DALFIUME NOBILVINI S.R.L. (ABBREVIABILE;11;Società  a responsabilità  limitata;11.02.10;02422060372;DALFIUME NOBILVINI S.R.L. (ABBREVIABILE;11;Società  a responsabilità  limitata;11.02.10
M1C2I5.01.01;E61B21008580006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00291930634;ACETIFICIO ANDREA MILANO S.R.L.;11;Società  a responsabilità  limitata;10.89.01;00291930634;ACETIFICIO ANDREA MILANO S.R.L.;11;Società  a responsabilità  limitata;10.89.01
M1C2I5.01.01;E51B21006580006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00930360474;LANDUCCI S.R.L.;11;Società  a responsabilità  limitata;28.93.00;00930360474;LANDUCCI S.R.L.;11;Società  a responsabilità  limitata;28.93.00
M1C2I5.01.01;E21B21007440006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02260010414;MOBILIFICIO A.G. S.R.L.;11;Società  a responsabilità  limitata;31.09.10;02260010414;MOBILIFICIO A.G. S.R.L.;11;Società  a responsabilità  limitata;31.09.10
M1C2I5.01.01;E41B21011720006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04054490638;ELMECO S.R.L.;11;Società  a responsabilità  limitata;28.93.00;04054490638;ELMECO S.R.L.;11;Società  a responsabilità  limitata;28.93.00
M1C2I5.01.01;E81B21010190006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03031260981;TECHNE SRL;11;Società  a responsabilità  limitata;71.20.10;03031260981;TECHNE SRL;11;Società  a responsabilità  limitata;71.20.10
M1C2I5.01.01;E21B21007450006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04158840282;NEW OMAP S.R.L.;11;Società  a responsabilità  limitata;28.96.00;04158840282;NEW OMAP S.R.L.;11;Società  a responsabilità  limitata;28.96.00
M1C2I5.01.01;E91B21008450006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01524470430;TACCHIFICIO VAL DI CHIENTI PLAST SOCIETA;11;Società  a responsabilità  limitata;22.29.01;01524470430;TACCHIFICIO VAL DI CHIENTI PLAST SOCIETA;11;Società  a responsabilità  limitata;22.29.01
M1C2I5.01.01;E11B21010060006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00124760034;VISTARINI S.R.L.;11;Società  a responsabilità  limitata;28.92.01;00124760034;VISTARINI S.R.L.;11;Società  a responsabilità  limitata;28.92.01
M1C2I5.01.01;E11B21010070006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01872190036;GUIDI S.R.L.;11;Società  a responsabilità  limitata;28.14.00;01872190036;GUIDI S.R.L.;11;Società  a responsabilità  limitata;28.14.00
M1C2I5.01.01;E41B21011730006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;10397120964;NETF MILANO SOCIETA' A RESPONSABILITA' L;11;Società  a responsabilità  limitata;70.22.01;10397120964;NETF MILANO SOCIETA' A RESPONSABILITA' L;11;Società  a responsabilità  limitata;70.22.01
M1C2I5.01.01;E61B21008590006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06083280633;VICTORY DESIGN S.R.L.;11;Società  a responsabilità  limitata;25.62.00;06083280633;VICTORY DESIGN S.R.L.;11;Società  a responsabilità  limitata;25.62.00
M1C2I5.01.01;E81B21010200006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03182100234;COSTRUZIONI MECCANICHE FRATELLI ANTOLINI;11;Società  a responsabilità  limitata;28.29.10;03182100234;COSTRUZIONI MECCANICHE FRATELLI ANTOLINI;11;Società  a responsabilità  limitata;28.29.10
M1C2I5.01.01;E31B21010500006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03248731204;P420 S.R.L.;11;Società  a responsabilità  limitata;47.78.10;03248731204;P420 S.R.L.;11;Società  a responsabilità  limitata;47.78.10
M1C2I5.01.01;E31B21010510006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01783080995;XPLORED S.R.L.;11;Società  a responsabilità  limitata;58.21.00;01783080995;XPLORED S.R.L.;11;Società  a responsabilità  limitata;58.21.00
M1C2I5.01.01;E41B21011740006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;07892080636;ARCADIA YACHTS S.R.L.;11;Società  a responsabilità  limitata;30.12.00;07892080636;ARCADIA YACHTS S.R.L.;11;Società  a responsabilità  limitata;30.12.00
M1C2I5.01.01;E31B21010520006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02133190997;TECHNOLOGY S.R.L.;11;Società  a responsabilità  limitata;46.62.00;02133190997;TECHNOLOGY S.R.L.;11;Società  a responsabilità  limitata;46.62.00
M1C2I5.01.01;E71B21007190006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04216100273;MANIFATTURA DI VENEZIA SRL;11;Società  a responsabilità  limitata;46.44.10;04216100273;MANIFATTURA DI VENEZIA SRL;11;Società  a responsabilità  limitata;46.44.10
M1C2I5.01.01;E31B21010530006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03825650363;PALOMBO S.R.L.;11;Società  a responsabilità  limitata;10.73.00;03825650363;PALOMBO S.R.L.;11;Società  a responsabilità  limitata;10.73.00
M1C2I5.01.01;E31B21010540006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04035400243;ANGIVENEZIA SRL;11;Società  a responsabilità  limitata;15.12.09;04035400243;ANGIVENEZIA SRL;11;Società  a responsabilità  limitata;15.12.09
M1C2I5.01.01;E31B21010550006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01723810436;FABITA SRL;11;Società  a responsabilità  limitata;27.51.00;01723810436;FABITA SRL;11;Società  a responsabilità  limitata;27.51.00
M1C2I5.01.01;E51B21006590006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02027110374;C.M.G. S.P.A.;10;Società  per azioni;28.96.00;02027110374;C.M.G. S.P.A.;10;Società  per azioni;28.96.00
M1C2I5.01.01;E81B21010210006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02749320988;MANICOMIX RETAIL SRL;11;Società  a responsabilità  limitata;47.61.00;02749320988;MANICOMIX RETAIL SRL;11;Società  a responsabilità  limitata;47.61.00
M1C2I5.01.01;E41B21011750006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;05365741213;P.F.C.M.N.A. S.P.A.;10;Società  per azioni;46.42.10;05365741213;P.F.C.M.N.A. S.P.A.;10;Società  per azioni;46.42.10
M1C2I5.01.01;E41B21011760006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;07263860962;SIMOPARMA PACKAGING ITALIA S.R.L.;12;Srl con un unico socio;28.29.10;07263860962;SIMOPARMA PACKAGING ITALIA S.R.L.;12;Srl con un unico socio;28.29.10
M1C2I5.01.01;E41B21011770006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01089570491;GAS AND HEAT S.P.A.;10;Società  per azioni;25.11.00;01089570491;GAS AND HEAT S.P.A.;10;Società  per azioni;25.11.00
M1C2I5.01.01;E21B21007460006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01583030174;L'ARTISTICO S.R.L.;11;Società  a responsabilità  limitata;27.52.00;01583030174;L'ARTISTICO S.R.L.;11;Società  a responsabilità  limitata;27.52.00
M1C2I5.01.01;E11B21010080006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02309530034;SPEEDYBYCASMA S.R.L.;11;Società  a responsabilità  limitata;25.72.00;02309530034;SPEEDYBYCASMA S.R.L.;11;Società  a responsabilità  limitata;25.72.00
M1C2I5.01.01;E71B21007200006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00907570410;ISOFOM S.R.L.;11;Società  a responsabilità  limitata;22.21.00;00907570410;ISOFOM S.R.L.;11;Società  a responsabilità  limitata;22.21.00
M1C2I5.01.01;E41B21011780006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01782300154;RE S.P.A. - CONTROLLI INDUSTRIALI;10;Società  per azioni;28.95.00;01782300154;RE S.P.A. - CONTROLLI INDUSTRIALI;10;Società  per azioni;28.95.00
M1C2I5.01.01;E11B21010090006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03861730244;OFFLOAD SRL;11;Società  a responsabilità  limitata;46.41.10;03861730244;OFFLOAD SRL;11;Società  a responsabilità  limitata;46.41.10
