CUP,CIG
B12E22006010001,9233964C24
B12E22020330005,9284360040
B12E22024880006,Z3E372A9D0
B12E22029680001,94036308F5
B12E22029680001,93649801FA
B12E22030810006,9390956E09
B12E22030810006,9385527DE2
B12E22031610006,9400795572
B12E22034010006,9402261F37
B12F20000690001,843444977F
B12F20000690001,ZE22E26599
B12F22000210006,Z3C38CB66C
B12F22000210006,9299052C75
B12F22000210006,ZF8377AD60
B12F22000380006,940005746E
B12F22000380006,Z7137B77EE
B12F22000390001,9387918303
B12F22000390001,ZE4377A9F2
B12F22000400007,9391046850
B12G19000260001,ZF534D3BFE
B12G19000260001,Z012C42600
B12G19000260001,9105457CCF
B12G20000070004,91441062FC
B12G20000070004,8789567425
B12G20000840001,8436821CED
B12G20000840001,Z3932AB270
B12G20000840001,Z742CD1CE6
B12G20000930001,835414173D
B12G20000930001,Z472D7808C
B12G20000930001,Z3A2EA9995
B12G20001070005,ZE82DA2A3A
B12H18000360005,ZE738174D5
B12H18000360005,8659317671
B12H18000360005,8993459525
B12H22000230006,9367612DF5
B12H22002830006,9293390C07
B12H22006020006,93706622E9
B12H22006020006,9305527BCC
B12J20000860001,Z73317B829
B12J20000860001,Z422CEA360
B12J20000860001,Z592DE8C8F
B12J20001070001,84275992B4
B12J20001070001,ZBE2DF593F
B12J20001100005,8390649698
B12J20001100005,Z8B2D5D6B9
B12J20001150001,Z462D81745
B12J20001150001,Z612FE0F12
B12J20001150001,ZEC2FFFF65
B12J20001150001,Z242FE1A15
B12J20001150001,839707095E
B13C22000060001,9391228E7F
B13C22000070001,9391199693
B13C22000080001,9391245C87
B13D20000020005,ZF33073A72
B13D20000020005,8262799570
B13D20000020005,8262421D7E
B13D20000020005,8262867D8B
B13D20000710001,84220428EA
B13D20000740001,8422338D2D
B13D20000740001,8430561F02
B13D21000880005,ZDA39196FC
B13D21000880005,9286894B5C
B13D21000940005,8853226935
B13D21000940005,Z8E3433AB3
B13D21000940005,Z27315D5E0
B13D21006970001,8818759E22
B13D21006970001,Z5A3285A76
B13D21007180005,8857667A09
B13D21007180005,8800862D10
B13D21011500006,9327005802
B13D21011500006,9326795AB5
B13D21011530006,9361139049
B13D21011530006,ZB7365BEF3
B13D21011530006,934693786A
B13D21011530006,93622873A4
B13D21011530006,9362700874
B13D21011540006,934693786A
B13D21011540006,93622873A4
B13D21011540006,9362700874
B13D21011540006,9361139049
B13D22000040006,Z4235350C6
B13D22000050006,ZDC353511A
B13D22000060006,Z3D3535068
B13D22000150001,Z2E3535144
B13D22001200006,9400927261
B13D22001200006,9386299AF6
B13E19000080001,9146363983
B13E22000000001,914371939F
B13G19008190001,8663553E17
B13G19008190001,Z3F2DE2286
B13G19008190001,8487028510
B13G19008200001,Z662F3B53B
B13G19008200001,8430542F54
B13G19008200001,ZA138EFF88
B13G20005240006,Z732E18396
B13G20005240006,8424687FA1
B13G20005260001,8421349D07
B13G20005300001,8442107714
B13G22000070006,ZDF38DA287
B13G22000070006,ZC536C30EE
B13G22000070006,Z9D3888B58
B13G22000070006,Z78368C149
B13G22000070006,9277179A4A
B13G22000110006,ZDB37D3533
B13G22000110006,94058977BF
B13H19000270006,8740489FAF
B13H19000270006,Z6B25BB8AD
B13H19000270006,Z5825299F6
B13H19000270006,Z90384468A
B13H19000280006,8740506DB7
B13H19000280006,Z432529A2F
B13H19000280006,ZF02552F91
B13H19000280006,92604171DC
B13H19000280006,Z0C3844642
B13H19000280006,87405344D5
B13H19000280006,9231020EAC
B13H19000790001,Z413329E3E
B13H19000790001,874677858B
B13H19000790001,8787986B74
B13H19000890001,8657289CE0
B13H19001390001,8730588522
B13H20000200002,Z1F2CB5B7C
B13H20000210002,Z273107160
B13H20000210002,Z022D01569
B13H20000210002,Z162CB2BF5
B13I22000060001,9355216876
B13I22000060001,935509007E
B13I22000060001,9358998977
B13I22000060001,Z2E36CF195
B13I22000130006,9400574F0F
B13I22000130006,9368056C5C
B14B20000530001,8555064625
B14B20000530001,84236675E9
B14C22000170001,Z893812F60
B14C22000180001,Z1C3812F69
B14C22000690001,ZF435F6EE9
B14C22000690001,Z5D37224FB
B14D22000510006,9531173CC4
