CUP,CIG
C31B22000820006,9328936187
C31B22000830006,9328936187
C31B22000840006,9328936187
C31B22001110001,9529136BC8
C31B22001160006,9544588B2D
C31B22001180006,ZB237B16BC
C31B22001190006,9328950D11
C31B22001200006,9328950D11
C31B22001270006,94251518A6
C31B22001290006,9342005268
C31B22001300001,Z6E3896611
C31B22001300001,9396497A9E
C31B22001310001,ZE13816F4B
C31B22001310001,9413172B43
C31B22001310001,Z5C3896719
C31B22001320001,94919740BE
C31B22001620005,9362064B9B
C31C19000130001,Z482E278E1
C31C19000130001,ZB02D1F999
C31C19000130001,Z042E2414B
C31C19000140005,83648203D5
C31C20000000001,ZC72DDBFE0
C31C20000000001,8430353360
C31C22000040006,9369950758
C31C22000070006,9343530CDD
C31C22000080006,9511531BAD
C31C22000350006,95199639FC
C31C22000620006,Z4D380C500
C31C22000630006,9558715527
C31C22000680006,9471196630
C31C22000680006,ZEF382C06D
C31C22000730006,95543291B7
C31C22000740006,9462885BBA
C31D20000240001,9315748E6E
C31D20001070001,9186198267
C31D20001070001,955869764C
C31D20001080001,9315828077
C31D20001080001,9236047319
C31D20001090001,9236047319
C31D20001090001,9315828077
C31D22000100001,Z22390D92F
C31E20000100001,84390371A4
C31E22000090001,Z9D376B357
C31F21000010001,9397414F58
C31F22000000006,9509135272
C31F22000010006,9505869B3F
C31F22000020006,9509437BA7
C31F22000030006,94260828EF
C31F22000150006,9525934969
C31F22000230006,Z9037C0C7E
C31F22000270006,9462927E62
C31F22000300006,9514014CB6
C31F22000380006,Z8D378239B
C31F22000400006,94775891DD
C31F22000460006,Z703869014
C31F22000600006,Z3136FC404
C31F22000630006,9453038DB9
C31F22001040006,94261809CE
C31F22001150006,953471795F
C31F22001160006,ZE13760870
C31F22001190006,Z5A382C077
C31F22001190006,94779099ED
C31F22001210006,9470784233
C31F22001260006,9568629A70
C31F22001290006,Z79381572F
C31F22001290006,94609330E6
C31F22001410006,95350636E7
C31F22001430006,ZB13870A82
C31F22001430006,Z683870B6C
C31F22001450006,95230773BF
C31F22001460006,Z73390C1EA
C31F22002910006,95393096D0
C31F22003060006,Z5D3929783
C32B20000020004,ZCC2F95885
C32B20000020004,8771406935
C32B20000020004,Z8B355D5FD
C32B20000020004,ZDB36EBC02
C32C20000020005,9334549983
C32C20000020005,8641231966
C32C21001690006,9509300A99
C32C21001700006,9505399765
C32C22000190006,9324138A15
C32C22000190006,932700365C
C32C22000190006,9326790696
C32C22000280001,949316251B
C32C22000280001,93695762B7
C32C22000290001,9493191D07
C32C22000290001,9369588C9B
C32C22000300001,9493210CB5
C32C22000300001,9369601757
C32C22000360006,917864162A
C32C22000450006,93885837C8
C32C22000450006,943239743E
C32D18000000001,Z543471CF3
C32D18000000001,901084615B
C32D18000000001,Z7A374FF67
C32E22000120006,9401092A88
C32E22000120006,9374652F8C
C32E22000140006,938102283F
C32E22000160006,Z3437867C8
C32E22000160006,9391381CC2
C32E22000190006,94071333BB
C32E22000190006,9400898A70
C32E22000200006,9403554A3D
C32E22000200006,9453366C66
C32F20000050001,Z112DD3D71
C32F20000050001,Z3E2DC1C91
C32F20000050001,8407031573
C32F22000140001,923605380B
C32F22000300005,ZAE36F2C66
C32F22000300005,Z0F3774660
C32F22000300005,Z2336F2C31
C32F22000310001,9498679DDE
C32G19001700001,Z712CDAC38
C32G19001700001,8330835685
C32G19001700001,833083782B
C32G19001720001,843321090A
C32G20000010001,Z8F3838328
C32G20000010001,8251640CBB
C32G20000010001,ZE732161C6
C32G20000050002,822068972A
C32G20000100001,8689668CDF
C32G20000100001,ZBB2CA52A5
C32G20000100001,83654435F2
C32G20001190005,8326724604
C32G20001350001,834832146D
C32G20001350001,Z30280E0F8
C32H22000220006,94834652E4
C32I20000010005,8411095F28
C32I20000020001,82467601A4
C32I20000020001,833737075F
C32I20000020001,ZC02CC0C39
C32I20000080001,8375673004
C32I20000100001,843357456D
C32I20000100001,Z3E2E46166
C32I20000110005,842587218A
C32I20000110005,8363255859
C32I20000110005,8422349643
C32J18000000001,8491107B27
C32J18000000001,90165070F6
C32J19000500005,Z032CBFF85
C32J19000500005,Z272CBE4F2
C32J19000500005,8413469641
C32J20000150005,8355195D05
C32J20000150005,84278219E5
C32J20000160001,8356224E2D
C32J20000160001,Z48350F66C
C32J20000170001,84083440FA
C33B18000000005,94277200AA
C33B18000000005,Z4637F3ED9
C33B18000000005,ZAC20375A5
C33C21000070006,Z3436C75B3
C33C21000070006,Z743679916
C33C21000080006,Z7A379D7B2
C33C21000080006,ZE737A0BA0
C33C21000080006,ZA938976F3
C33C21000080006,ZF835CAE0D
C33C21000080006,ZC93705BC7
C33C22000170006,953693608F
C33D20001320001,86562725A1
C33D20001320001,86563126A3
C33D20004980001,Z3732AEDB5
C33D20004980001,Z1B388A518
C33D20004980001,9314525D2E
C33D20004980001,9434715D1B
C33D20004980001,9387155D5A
C33D20004980001,Z483345084
C33D20004980001,922525486D
C33D20004980001,91295105FB
C33D20004990001,9314525D2E
C33D20004990001,9434715D1B
C33D20005010001,9434715D1B
C33D20005010001,9314525D2E
C33D20005020001,9387155D5A
C33D20005020001,9314525D2E
C33D20005020001,91295105FB
C33D20005020001,9434715D1B
C33D20005030001,9314525D2E
C33D20005030001,9434715D1B
C33D20005040001,9434715D1B
C33D20005040001,9314525D2E
C33D20005050001,9434715D1B
C33D20005050001,9314525D2E
C33D21001520001,88161304A0
C33D21001520001,88635798C6
C33D21001520001,Z623173614
C33D21002910005,951082336D
C33D21002960005,9247249F44
C33D21002960005,9276245788
C33D21002960005,9180900E57
C33D21002960005,94749922C0
C33D21003050001,871532842F
C33D21003050001,8674006032
C33D21003050001,86720924B5
C33D21003290001,9474735EA7
C33D21003290001,Z2235A4777
C33D21003290001,9494723D46
C33D21003290001,94941948BC
C33D21003350005,9366060D35
C33D21003350005,93660293A3
C33D21003360005,9399253CF0
C33D21003370005,9354326A02
C33D21003380005,9214191EF1
C33D21004150001,ZEC331E200
C33D21004150001,8852006A6E
C33D21004150001,Z18380F577
C33D21004150001,ZD93335E34
C33D21004270001,8902612BD2
C33D21004270001,ZB532D3B98
C33D21004430002,Z3F34695DE
C33D21004430002,ZE534718E4
C33D21004430002,Z2534696B4
C33D21004510002,Z90384A896
C33D21004510002,Z9D3683058
C33D21004510002,Z17383832B
C33D22000110006,93223094C0
C33D22000110006,932700365C
C33D22000110006,9326790696
C33D22000120006,9322550B9F
C33D22000120006,9326790696
C33D22000120006,932700365C
C33D22000130006,9326790696
C33D22000130006,932700365C
C33D22000130006,932256472E
C33D22000240001,934336223D
C33D22000240001,933789638D
C33D22000270001,93981037EF
C33D22000270001,9405521178
C33F20000010002,919081761E
C33F20000010002,89506462BE
C33G19000740001,8425376838
C33G19000750005,ZD4329AD40
C33G19000750005,8429608C92
C33G20000810001,Z522F1A24F
C33G20000810001,8423310F4B
C33G20000810001,ZAD2E31E59
C33G20000810001,ZC330B10AF
C33G20000810001,Z42311DE86
C33G22000000006,936000152C
C33H09000040001,Z6B366B331
C33H09000040001,Z8B3369171
C33H09000040001,8668419DA4
C33H09000040001,ZEB344F281
C33H20000000009,ZFA31A7744
C33H20000000009,8630705B11
C33H20000000009,8803012B4D
C33H20000130001,8315154A25
C33H20000270002,Z633127C73
C33I18000230006,93660293A3
C33I22000030006,94687378F4
C33I22000300006,9397974D79
C34C22000120001,Z1C393D35A
C34D22000470006,ZA0392B847
C34D22001020001,Z4838C8E84
C34D22001020001,Z6D378F5A0
C34D22001020001,9356895206
C34D22001020001,ZCD3731111
C34D22001070006,9366300346
C34D22001070006,9395668E80
C34D22001110006,9391647846
C34D22001120006,9397786258
C34D22001170001,94002156D0
C34D22001180006,9400761962
C34D22001180006,9407202CA9
C34E12000290001,88455613DB
C34E12000290001,Z71317248D
C34E20001930001,Z272EFE750
C34E20001930001,8407228804
C34E20002020001,8425708A31
C34E20002020001,84256488AE
C34E21000090004,Z2637F3B20
C34E21000210005,Z5731A9AC0
C34E21000210005,Z0A3479C13
C34E21000210005,Z5D3401D1E
C34E21000210005,ZE7315CCD6
C34E21000210005,Z0A35DA8A2
C34E21000210005,Z02331E0B3
C34E21000210005,Z2132AC576
C34E21000210005,881295695A
C34E21000230001,9235853301
C34E21000260001,ZA037B9C21
C34E21000260001,9048517073
C34E21000270001,904854036D
C34E21000270001,ZC43771EEB
C34E21000700002,Z0F38A30E9
C34E21000700002,8848853081
C34E21000710002,Z9232437F1
C34E21000710002,Z223243826
C34E21000710002,ZF932447F0
C34E21000710002,ZEB32AB841
C34E21001290006,Z4035A011D
C34E21001390005,Z96368110B
C34E21001390005,91888005A3
C34E21001390005,9334412875
C34E21001390005,Z4D37A791C
C34E21001390005,Z0C385FD82
C34E21001390005,ZCD37DABFC
C34E21001390005,Z8637DAC75
C34E21001390005,ZB8377FA40
C34E21001390005,Z7437DAB87
C34E21002200006,932659667E
C34E21002200006,932679283C
C34E21002200006,9326141F01
C34E21002200006,932700472F
C34E21002210006,9326912B42
C34E21002210006,932683186B
C34E21002210006,9326375020
C34E21002210006,932687089A
C34E21002220006,941661220D
C34E21002240006,94171795F3
C34E21002250006,9326141F01
C34E21002250006,932700472F
C34E21002250006,932659667E
C34E21002250006,932679283C
C34E21002280001,9329318CC0
C34E21002280001,94982625C2
C34E22000150006,9328950D11
C34E22000160006,9328948B6B
C34E22000200006,9487162DBD
C34E22000210006,95515994D8
C34E22000230006,9450365FE4
C34E22000240006,90588607C1
C34E22000250006,9540331233
C34E22000250006,9331121CA2
C34E22000280006,933035762B
C34E22000290006,932839316E
C34E22000310006,9332556CD5
C34E22000320006,9332556CD5
C34E22000330006,9332556CD5
C34E22000340006,9332556CD5
C34E22000380006,94793742E4
C34E22000390006,9480490BD5
C34E22000400006,9480498272
C34E22000410006,9387893E5E
C34E22000420006,944005864C
C34E22000420006,94169508F8
C34E22000430006,94169508F8
C34E22000430006,944005864C
C34E22000460006,Z99379DF12
C34E22000510001,Z1D37DBC47
C34F22000020006,9464573CB5
C34F22000020006,9466766E6D
C34F22000130005,9404710435
C34F22000130005,9186659ED1
C34F22000140005,918672554B
C34F22000140005,9404758BCF
C34H15000660002,Z7F31096D2
C34H15000660002,Z8E319516E
C34H15000660002,Z1115B2D36
C34H15000660002,87998444FE
C34H15000660002,ZA631AFC85
C34H15000660002,Z9015B2D20
C34H19000030001,Z142DFA8ED
C34H19000030001,ZE8311443B
C34H19000030001,842507824F
C34H19000030001,Z1B356F383
C34H20000050001,8372625CB6
C34H20000840001,911655425B
C34H20000860001,94933586D9
C34H20000860001,89163840D9
C34H20001000001,92470066BF
C34H20001000001,Z0435EF16F
C34H20001000001,8961845C70
C34H20001000001,Z9633AD1C9
C34H20001010001,8744482ED0
C34H20001010001,8744498C05
C34H20001010001,87448259DF
C34H20001010001,948873824F
C34H20001020001,9488765895
C34H20001030001,8744381B78
C34H20001030001,8744363C9D
C34H20001030001,8744404E72
C34H20001030001,8744468346
C34H20001030001,9312451DA9
C34H20001030001,87444368DC
C34H20001030001,874445588A
C34H20001030001,9426745C0E
C34H20001030001,9462517C0B
C34H20001040001,86968557C7
C34H20001040001,8704227B57
C34H20001040001,90722777D0
C34H20001040001,896396953A
C34H20001040001,90041836DE
C34H20001110001,ZD736C39B4
C34H20001110001,9274218ECA
C34H20001110001,9337450380
C34H20001110001,Z8031199EF
C34H20001110001,8675248120
C34H20001120001,Z7836FDFFA
C34H20001120001,87572642DE
C34H20001120001,Z68300DDAE
C34H20001140001,9000884473
C34H20001140001,Z1333A01EA
C34H20001140001,ZBE35C4F00
C34H20001140001,Z0735C4EB3
C34H20001150001,9331854987
C34H20001150001,9224234EB0
C34H20001150001,9331735754
C34H20001180001,9500326D04
C34H20001190001,Z6137C8D03
C34H20001190001,91532046E3
C34H20001230001,9004323A65
C34H20001230001,950843619D
C34H22000090001,9392745261
C34H22000130001,Z68359F558
C34H22000130001,ZBC359F474
C34H22000130001,95147181AF
C34H22000150005,9561896632
C34H22000150005,95416724D3
C34H22000150005,Z69386BA50
C34H22000160001,Z0E35A80D3
C34H22000160001,9514618F25
C34H22000160001,Z3A35A7C04
C34H22000240006,Z5238AD123
C34H22000370006,937180307F
C34H22000370006,9221656F41
C34H22000420006,9356796054
C34H22000430001,ZDC36B10FD
C34H22000430001,938195495B
C34H22000460001,93706107FE
C34H22000460001,9302525E77
C34H22000490006,9376281FD7
C34H22000490006,Z29377B64B
C34H22000540006,94355362A1
C34H22000540006,93672768B0
C34H22000550001,9399081EFF
C34H22000560006,93905975CA
C34H22000560006,93691703AC
C34H22000560006,9390623B3D
C34H22000570006,9400831328
C34H22000580006,9402622921
C34H22000600006,9408696D8C
C34J22000050006,Z293883EFA
C34J22000050006,953394082C
C34J22000060001,94625696F6
C34J22000060001,95168511E4
C34J22000150006,93769041F9
C34J22000150006,92195136CE
C34J22000150006,9210545E2B
C34J22000150006,921935004D
C34J22000150006,9376798A7D
C34J22000150006,9219656CCE
C34J22000150006,9376881EFA
C34J22000170001,9333546DCE
C34J22000170001,9374947301
C34J22000240006,9387641E69
C34J22000240006,93230307BC
C34J22000240006,9322922E9A
C34J22000240006,9322608B7C
C34J22000290006,ZCD3779FD3
C34J22000290006,9391293426
C34J22000300006,93948993EA
C34J22000310006,9363118168
C34J22000310006,938889486D
C34J22000320006,ZD6378A809
C34J22000320006,9367300C7D
C34J22000330006,939650620E
C34J22000330006,Z8D37851B0
C34J22000360006,9389806908
C34J22000360006,93884867BC
C34J22000370001,940808120C
C35B19000030002,93885203CC
C35B19000030002,ZE33234607
C35B19000030002,9562659BD6
C35B19000030002,Z3B3335BD1
C35B19000030002,9062723B99
C35B19000030002,9546757918
C35B22000060006,9424831096
C35B22000060006,9424830FBE
C35B22000060006,94248819D6
C35B22000060006,9424811015
C35B22000140005,95243649CE
C35B22000140005,95207660A7
C35B22000140005,9417964DBE
C35E22000040006,9543843464
C35E22000070006,953578283D
C35E22000070006,9535832182
C35E22000220007,9375964A40
C35E22000240006,9518463427
C35E22000240006,95268350F3
C35F21000030005,95172234DF
C35F21000030005,9514716009
C35F21000030005,9482885442
C35F21000090001,Y1132C0A96
C35F21000090001,8898854E9E
C35F21000090001,Y2538C1E22
C35F21000200001,9520254A20
C35F21000210008,9250874EB6
C35F21000210008,Z3C378CDF2
C35F21000210008,932984607C
C35F21000220001,9225571E04
C35F21000220001,9225634205
C35F21000220001,9225672161
C35F21000220001,92256005F5
C35F21000220001,9250922655
C35F21000220001,93298736C2
C35F21000220001,93366428B6
C35F21000230008,925005178F
C35F21000230008,9250910C6C
C35F21000240001,9250038CD3
C35F21000240001,9250890BEB
C35F21000270001,9186328DAB
C35F21000270001,884114687A
C35F21000270001,886062316A
C35F21000300001,8901858D99
C35F21000330001,8772170FAC
C35F21000370001,Z4431DDDE4
C35F21000370001,88041240F7
C35F21000390001,90265619C6
C35F21000400001,903008343A
C35F21000410001,9342382982
C35F21000420001,9368909C47
C35F21000430001,Z0D37DFB9E
C35F21000430001,941828891F
C35F21000440005,Z5B37791C4
C35F21000540001,8821643A17
C35F21000590001,888593270E
C35F21000590001,879325251A
C35F21000590001,8793222C56
C35F21000600001,ZF3323A390
C35F21000600001,88609829A9
C35F21000700001,8895731D70
C35F21001020001,Z713276E7C
C35F21001020001,8892650EEA
C35F21001030001,Z1932CC417
C35F21001030001,88955296C0
C35F21001620004,Z3934773CC
C35F21001620004,Z36348CF0E
C35F21001620004,ZE234569A8
C35F21001620004,Z1134776BE
C35F21001620004,ZD035C5CAD
C35F21001620004,Z0A34CE22E
C35F21001620004,Z7537C0632
C35F21001700006,90499238B5
C35F21001700006,9333217E4E
C35F21001760005,9307145306
C35F21001760005,Z6237F8CFD
C35F22000190006,9286062CC5
C35F22000190006,Z6036B6C16
C35F22000190006,Z803525DA9
C35F22000690006,9326602B70
C35F22000690006,9326798D2E
C35F22000690006,93270079A8
C35F22000690006,9326167479
C35F22000700006,9326798D2E
C35F22000700006,9326167479
C35F22000700006,9326602B70
C35F22000700006,93270079A8
C35F22000710006,9326798D2E
C35F22000710006,93270079A8
C35F22000710006,9326167479
C35F22000710006,9326602B70
C35F22000750007,917342776F
C35F22000750007,ZC135E7BBC
C35F22000750007,92217794C5
C35F22000770001,ZAA35E68CA
C35F22000770001,Z0E35E68E7
C35F22000800006,92183349DC
C35F22000860006,ZE43639D31
C35F22000860006,9322552D45
C35F22001200006,9344220647
C35F22001220005,9367785CB9
C35F22001260006,9396270F49
C35F22001260006,Z1A3785211
C35F22001280006,93836332EB
C35F22001310001,9392123117
C35G18000040002,ZE42C9087E
C35G18000040002,9557551497
C35G18000040002,Z182C29E21
C35G18000040002,Z8937367A6
C35G18000040002,Z2C361BD2C
C35G18000040002,Z652C9098F
C35G18000040002,Z5B2C907D8
C35G18000040002,Z6B2C90937
C35G18000040002,ZFA37367B6
C35H20000110002,Z12309C890
C35H20000110002,ZB32FC1D86
C35H20000110002,Z94319AE3B
C35H20000170001,9475083DD5
C35H20000190001,Z833298CA2
C35H21000060001,8886171C47
C35H21000060001,86995328E8
C35H21000100002,8912593868
C35I20000010001,84100321F5
C36B20000010001,9368587291
C36B20000010001,9364780CEB
C36B20000010001,87721173F3
C36B20000010001,8655221252
C36C18000320001,90144531F2
C36C18000320001,Z7538972BD
C36C18000320001,94957160BD
C36C18000360004,9331810539
C36C18000360004,Z1D33BF9A1
C36C18000360004,8625392AA4
C36C18000360004,Z9A31CFDFE
C36C22000150006,9334007A3D
C36D20000180001,8433601BB3
C36D20000180001,8433499788
C36E15000000001,906535686C
C36E15000000001,9261570956
C36E20000090001,Z152CB1C00
C36E20000090001,8432681480
C36G20000330001,8425462F2E
C36G20000370001,8436006C5E
C36G20000390001,ZC12C7672F
C36G20000390001,84304080C4
C36G21022500004,9044720310
C36G21022500004,8968201994
C36G22001820006,9326951B71
C36G22001820006,9326785277
C36G22001820006,932397860D
C36G22001830006,9326951B71
C36G22001830006,9324005C53
C36G22001830006,Z9337969C2
C36G22001830006,ZFA379681B
C36G22001830006,9326785277
C36I20000100001,92849051FF
C36I20000100001,9315828077
C36J16000610006,Z632C2A3A3
C36J16000610006,Z842C9D6FD
C36J16000610006,ZAB2BFDF89
C36J16000610006,ZCA3789713
C36J20000250001,8381387B58
C36J20000340001,8414883520
C36J20000440005,8399753F71
C36J20000450001,ZB12DF1603
C36J20000450001,ZCC2E258CE
C36J20000450001,8433654771
C36J20000480005,840961382E
C36J20000550001,Z7B3218465
C36J20000550001,ZD63218273
C36J20000550001,8865815DF9
C36J20000550001,8790585C37
C36J20000550001,8867171CFB
C36J20000550001,9020925ECB
C36J20000550001,Z913218085
C36J20000560001,Z8D2DC5528
C36J20000560001,84336525CB
C36J20000560001,Z0D2E28B4B
C36J20000570001,919130265A
C36J20000570001,91163623E9
C36J20000570001,9236646169
C36J20000590001,8424646DCC
C36J20000590001,84170701E6
C36J20000640001,ZC82E16C6A
C36J20000640001,8425864AED
C36J20000730001,8433708402
C36J20000730001,8433739D94
C36J20000740001,8434215665
C36J20001120006,Z152E42A3A
C36J20001120006,Z742E11AF2
C36J20001120006,91707137C5
C37B16001590006,90901450F6
C37B16001590006,9134081218
C37B16001590006,9366737BE3
C37B18000230005,9379906F49
C37B18000230005,9276470137
C37B18000250001,9325081447
C37B18000250001,ZB03378D97
C37B18000250001,9569002E3E
C37B18000250001,9434715D1B
C37B18000250001,ZBD32F5CEE
C37B18000250001,Z15334507F
C37B18000250001,940331877D
C37B18000250001,9478167ED4
C37B18000250001,Z383279120
C37B20000780001,841771562A
C37B20000800005,921419309C
C37B22000020006,Z373849776
C37B22000020006,9550328BF9
C37G19000220006,9424753038
C37G19000220006,942464898F
C37G19000220006,9424789DE9
C37G19000220006,9424692DDD
C37G22000130002,ZC135D3442
C37G22000130002,9286288747
C37H18000950005,8742072A06
C37H18000970005,87422962E2
C37H19001120001,Z28363FBA1
C37H19001120001,ZF63720B8C
C37H19001120001,Z18355C0CC
C37H19001120001,Z353701F4C
C37H19001120001,Z11371C6F6
C37H19001120001,Z002F6B8D2
C37H19001120001,85359687A0
C37H19001120001,Z4A37D1014
C37H19001120001,ZB2379E1E3
C37H19001260005,9267714787
C37H19001260005,ZDF2F8D656
C37H19002140001,83963528DB
C37H19002140001,83963810CC
C37H19002140001,8410596362
C37H19002150001,95174120D8
C37H19002150001,9517368C85
C37H19002160004,ZED381A09C
C37H19002160004,93878391D2
C37H19002160004,Z4436A3C70
C37H19002160004,ZEE36A3C2D
C37H19002160004,Z15381A138
C37H19002160004,Z6635CB8B4
C37H19002170001,9135591030
C37H20000080005,8319981983
C37H20000360001,ZB72CD5728
C37H20000430001,ZAB2D0F75E
C37H20000430001,ZA02D63987
C37H20000470001,ZDB2D49715
C37H20000470001,Z2F2DC8365
C37H20000470001,8336075AB3
C37H20000470001,ZE42E0684B
C37H20000510004,84031334B8
C37H20000510004,ZC42E504FA
C37H20000520001,8436031103
C37H20000520001,ZD62D3EB22
C37H20000640001,8373679283
C37H20000640001,ZBD2FA43B6
C37H20000680001,84250760A9
C37H20000680001,ZBC2F0C8C8
C37H20000680001,ZC52E14463
C37H20000680001,Z3E2F0CA1E
C37H20000700005,Z5A2DC90F2
C37H20000700005,8419737AC4
C37H20000720001,83921648CF
C37H20000750002,8508392332
C37H20000800001,84113490C8
C37H20000810001,Z1C3753B5E
C37H20000810001,ZCC34F3A8D
C37H20000820001,8418200666
C37H20000830004,8472579160
C37H20000930001,ZD73828AE5
C37H20000940005,937666089C
C37H20000940005,9186998694
C37H20000940005,918698188C
C37H20000950001,84331664BC
C37H20000990001,84331084DF
C37H20001010001,9363279643
C37H20001010001,9363266B87
C37H20001020001,936330186A
C37H20001020001,936329102C
C37H20001050001,95368319E6
C37H20001060001,Z4D36A3319
C37H20001070003,90422268F1
C37H20001080001,94714686A6
C37H20001080001,9285264A3E
C37H20001080001,Z5635D496C
C37H20001080001,9490829FD7
C37H20001080001,953783459B
C37H20001080001,94967050E3
C37H20001080001,ZB635D9C2A
C37H20001080001,9374959CE5
C37H20001090001,94940978B0
C37H20001090001,9314273D39
C37H20001110001,9506485797
C37H20001110001,Z3F3740FF4
C37H20001880004,8848888D5F
C37H20001940001,Z0C35CC0CD
C37H20001940001,887536788A
C37H20001940001,Z053299CAD
C37H20001940001,ZF236D76CF
C37H21000200001,8739970368
C37H21000200001,86627138E8
C37H21000550001,8754030615
C37H21000550001,Z62315FE4A
C37H21000630001,9415283951
C37H21000830001,Z7933F2F8C
C37H21000830001,Z29385D257
C37H21000830001,Z0B378FC8C
C37H21000830001,Z2236494ED
C37H21000830001,9329882E2D
C37H21000830001,Z0C314C5DF
C37H21000830001,ZA132D3343
C37H21000830001,Z7133F2E5F
C37H21000830001,Z5F37B3F1D
C37H21000830001,95054533F6
C37H21000830001,Z9B37AEB47
C37H21000830001,Z4337A65BF
C37H21000830001,Z0E33F3310
C37H21000830001,Z323751628
C37H21000830001,93189164C2
C37H21000830001,9362416E15
C37H21000830001,95403501E1
C37H21000830001,ZC8314A62F
C37H21000830001,Z8733F3257
C37H21000830001,ZE7375C085
C37H21000830001,ZBA314A55A
C37H21000830001,Z4138ADC3E
C37H21000840001,Z0438C0783
C37H21000980001,9475083DD5
C37H21000990001,9437768488
C37H21001000001,94432207A9
C37H21001000001,9465540AB4
C37H21001310002,Z4C32F088C
C37H21001310002,894560639A
C37H21001320002,8945696DDC
C37H21001320002,ZD132F081E
C37H21001340001,8736000741
C37H21001340001,ZCF308969D
C37H21001340001,8736039770
C37H21001450001,Z883945B55
C37H21001480001,9440999ED3
C37H21001480001,9498117E17
C37H21001480001,9437389BC3
C37H21001480001,9449408A28
C37H21001480001,9449120C7D
C37H21001490001,Z4437BEB43
C37H21001490001,ZAD392AB1D
C37H21001490001,94310046B3
C37H21001550001,9008808F87
C37H21002130002,884875821B
C37H21002210001,8818763173
C37H21006480006,8851590325
C37H21006860001,ZE632C0444
C37H21006860001,888614894D
C37H21006990001,8877740ECB
C37H21007010005,88881838A3
C37H21007110001,ZF53348ED5
C37H21007110001,89005294E2
C37H21008670002,925964117C
C37H21008790006,Z27354CAD2
C37H21009740004,ZBE376B369
C37H21010370002,93837660AD
C37H21010370002,95703674B0
C37H21010370002,9064977FA7
C37H21010370002,94982625C2
C37H21010370002,9329318CC0
C37H21010930001,ZBF34A2BC5
C37H21010930001,95593132A4
C37H21010940001,ZB834A2BD8
C37H21010940001,9561244C24
C37H21011410006,Z2E37EDF28
C37H21011410006,9454262FCC
C37H21011410006,9045936E86
C37H21011410006,904596132B
C37H21011410006,9097314CFE
C37H21011410006,90965820F1
C37H21011480001,95612522C1
C37H21011480001,Z74359B7DE
C37H21011480001,Z0634A2BE9
C37H21011480001,95331468F1
C37H21011600006,932659667E
C37H21011600006,932700472F
C37H21011600006,9326141F01
C37H21011600006,932679283C
C37H21011610006,941401421D
C37H21011690001,932661020D
C37H21011690001,9326801FA7
C37H21011690001,9327028AFC
C37H21011690001,93285925A5
C37H21011820001,Z6C3719BD6
C37H21011820001,ZB43719C9D
C37H21011820001,ZF436FFB84
C37H22000010005,Z5A34BF3EB
C37H22000010005,Z2534BF35C
C37H22000120006,9512106630
C37H22000190003,ZBD370A119
C37H22000190003,93288591FC
C37H22000300001,9326801FA7
C37H22000300001,9327028AFC
C37H22000300001,932661020D
C37H22000520001,9334597122
C37H22000840001,926272634E
C37H22000840001,Z6537E8FDB
C37H22001800001,938026578D
C37H22001820006,9395537269
C38B20000040001,8500162B93
C38B20000190001,92849051FF
C38B20000220001,95542711DA
C38B20000220001,9186198267
C38B20000230001,9315828077
C38B20000230001,92849051FF
C38B20000240001,91901786CC
C38C20000180001,9471592CF8
C38C20000180001,ZE53856823
C38C20000180001,9489972CA0
C38C20000180001,93335511F2
C38C20000180001,84234334CF
C38C20000180001,Z7C375487F
C38C20000180001,Z023778781
C38C20000180001,9490169F31
C38C20000180001,Z413462898
C38C20000180001,9471551B23
C38C20000180001,921671302E
C38C22000220006,9398358A5D
C38C22000220006,ZE437947B4
C38E22000110006,92704487B2
C38E22000110006,937332587B
C38G22000000005,9303632002
C38H22000000006,9543062FE0
C38H22000000006,9541013500
C38H22000210001,9395686D5B
C38H22000210001,9395738846
C38H22000220001,9396357717
C38H22000220001,93971082D7
C38H22000230001,9396927D76
C38H22000270006,ZA8386F479
C38H22001030006,Z5B3780E49
C38H22001030006,9373663F66
C38H22001040006,93900198CE
C38I20000210001,8368477DAC
C38I21000020001,9415215136
C38I21000160001,ZBE30F6635
C38I21000160001,869417000E
C38I21000280001,87675982C1
C38I21000280001,8844323639
C38I21000300001,8840882E9C
C38I21000300001,Z9D31DF2F0
C38I21000300001,ZE636E446A
C38I21000300001,Z683260FFE
C38I21000300001,8831529847
C38I21000300001,8840855856
C38I21000340001,88748226CB
C38I21000340001,Z0D3255C8D
C38I21000350001,8868124F6B
C38I21000350001,Z41329869C
C38I21000370001,8864016168
C38I22000010006,9435901FD2
C38I22001120001,9428265269
C39B20000010001,8477633C0E
C39B20000010001,ZCD2F30122
C39G19000190004,88653931BE
C39H13000090001,87886206A7
C39H13000090001,9264556976
C39H13000090001,8788669F14
C39H13000090001,88823803DB
C39H14000030001,8882333D0F
C39H14000030001,9256279B10
C39H14000030001,878853722A
C39H14000030001,878847924D
C39H14000030001,ZB2313FC84
C39H20000080004,836321140B
C39H20000080004,ZA42DD5E33
C39H20000080004,Z522D8960B
C39H20000080004,ZC32CC3636
C39H20000120001,Z912EAE20E
C39H20000120001,Z1E2DCEAAA
C39I22000030006,94160702C7
C39I22000040006,93346279E1
C39I22000050006,933464698F
C39J18000030006,93878212F7
C39J18000030006,917001254A
C39J18000030006,917004615A
C39J18000030006,9387851BB6
C39J18000030006,91699680FC
C39J18000320006,ZA93305676
C39J18000320006,95614473AC
